Иван Васильевич меняет профессию,,1973,8,28.01.11 16:59
Операция «Ы» и другие приключения Шурика,,1965,8,28.01.11 16:59
Гладиатор,Gladiator,2000,7,28.01.11 16:59
Терминатор 2: Судный день,Terminator 2: Judgment Day,1991,6,28.01.11 16:59
Бриллиантовая рука,,1968,7,28.01.11 16:59
Джентльмены удачи,,1971,8,28.01.11 16:59
Хороший  плохой  злой,Il buono  il brutto  il cattivo,1966,7,28.01.11 16:59
Кавказская пленница  или Новые приключения Шурика,,1966,6,28.01.11 16:59
Матрица,The Matrix,1999,8,28.01.11 16:59
Самый лучший фильм 3-ДЭ,,2011,1,28.01.11 17:04
Коко до Шанель,Coco avant Chanel,2009,8,06.02.11 11:04
Скотт Пилигрим против всех,Scott Pilgrim vs. the World,2010,2,06.02.11 21:05
Чёрный лебедь,Black Swan,2010,8,21.02.11 11:23
Родня,,1981,9,21.02.11 23:58
Руки-ноги за любовь,Burke and Hare,2010,6,18.03.11 14:19
Рассекая волны,Breaking the Waves,1996,10,10.04.11 15:38
Идиоты,Idioterne,1998,10,10.04.11 15:39
Кен Парк,Ken Park,2002,6,10.04.11 15:40
Детки,Kids,1995,5,10.04.11 15:42
21 грамм,21 Grams,2003,8,10.04.11 15:50
11 сентября,11'09''01 - September 11,2002,7,10.04.11 15:51
Дилер,Dealer,2004,6,10.04.11 15:51
Тайм аут,L'emploi du temps,2001,7,10.04.11 15:51
Мастер и Маргарита,,2005,8,10.04.11 15:51
Жмурки,,2005,7,10.04.11 15:51
Бункер,Der Untergang,2004,8,10.04.11 15:52
18-летняя девственница,18-Year-Old Virgin,2008,1,10.04.11 15:55
Стан Хельсинг,Stan Helsing,2009,2,10.04.11 15:55
Никто не знает про секс,,2006,1,10.04.11 15:55
Самый лучший фильм 2,,2009,2,10.04.11 15:55
Самый лучший фильм,,2007,1,10.04.11 15:55
Никто не знает про секс 2: No sex,,2008,1,10.04.11 15:56
Гитлер капут!,,2008,1,10.04.11 15:56
Человек дождя,Rain Man,1988,10,13.04.11 16:56
Статский советник,,2005,8,16.04.11 9:33
12,,2007,8,16.04.11 9:37
Двадцать шесть дней из жизни Достоевского,,1980,10,15.05.11 15:27
Тринадцатый этаж,The Thirteenth Floor,1999,8,20.05.11 13:14
Эквилибриум,Equilibrium,2002,9,20.05.11 13:14
Адвокат дьявола,The Devil's Advocate,1997,8,20.05.11 13:16
Мальчик в полосатой пижаме,The Boy in the Striped Pyjamas,2008,7,20.05.11 13:17
Схватка,Heat,1995,7,20.05.11 13:17
Шерлок Холмс,Sherlock Holmes,2009,9,20.05.11 13:17
Профессионал,Le professionnel,1981,9,20.05.11 13:17
Иллюзионист,The Illusionist,2005,8,20.05.11 13:17
Крепкий орешек,Die Hard,1988,7,20.05.11 13:17
Секреты Лос-Анджелеса,L.A. Confidential,1997,6,20.05.11 13:17
Одержимость,Wicker Park,2004,7,20.05.11 13:17
Подозрительные лица,The Usual Suspects,1995,6,20.05.11 13:17
В случае убийства набирайте `М`,Dial M for Murder,1954,9,20.05.11 13:18
Совершенный мир,A Perfect World,1993,7,20.05.11 13:18
18 дырок  страсть на траве,Private Matador 9: 18 Holes  Passion on the Green,2001,-,20.05.11 13:19
Хулиганы,Hooligans,2004,6,20.05.11 13:20
Драконы навсегда,Fei lung mang jeung,1988,7,20.05.11 13:22
Змея в тени орла,Se ying diu sau,1978,7,20.05.11 13:22
Проект А,'A' gai wak,1983,8,20.05.11 13:22
Доспехи Бога,Long xiong hu di,1986,9,20.05.11 13:22
Час пик,Rush Hour,1998,7,20.05.11 13:22
Доспехи Бога 2: Операция Кондор,Fei ying gai wak,1991,7,20.05.11 13:22
Разборка в Бронксе,Hong faan kui,1995,6,20.05.11 13:22
Шанхайский полдень,Shanghai Noon,2000,5,20.05.11 13:23
Куда приводят мечты,What Dreams May Come,1998,9,20.05.11 13:24
Бьютифул,Biutiful,2009,7,20.05.11 13:25
Клык,Kynodontas,2009,4,20.05.11 13:25
Таинственная река,Mystic River,2003,7,20.05.11 13:25
Игра,The Game,1997,6,21.05.11 0:19
Форсаж 5,Fast Five,2011,1,21.05.11 9:46
Пираты Карибского моря: Сундук мертвеца,Pirates of the Caribbean: Dead Man's Chest,2006,7,21.05.11 9:47
Пираты Карибского моря: На странных берегах,Pirates of the Caribbean: On Stranger Tides,2011,5,21.05.11 9:47
На десять минут старше: Виолончель,Ten Minutes Older: The Cello,2002,-,21.05.11 9:49
Триумф любви,The Triumph of Love,2001,6,21.05.11 9:49
Ускользающая красота,Stealing Beauty,1995,7,21.05.11 9:49
Маленький Будда,Little Buddha,1993,7,21.05.11 9:49
Последний император,The Last Emperor,1987,6,21.05.11 9:50
Трагедия смешного человека,La tragedia di un uomo ridicolo,1981,8,21.05.11 9:50
Доктор Стрейнджлав  или Как я научился не волноваться и полюбил атомную бомбу,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1963,8,21.05.11 10:06
Гоморра,Gomorra,2008,7,21.05.11 10:09
Марадона,Maradona by Kusturica,2008,8,21.05.11 10:10
Дарья,Daria,1997 – 2001,8,21.05.11 10:12
Социальная сеть,The Social Network,2010,8,21.05.11 10:13
Семь жизней,Seven Pounds,2008,8,21.05.11 10:13
Гуммо,Gummo,1997,7,21.05.11 10:13
Я  снова я и Ирэн,Me  Myself & Irene,2000,6,21.05.11 10:14
Крепкий орешек 4.0,Live Free or Die Hard,2007,5,21.05.11 10:14
Тупой и еще тупее,Dumb & Dumber,1994,5,21.05.11 10:14
Лжец  лжец,Liar Liar,1997,7,21.05.11 10:14
Мегамозг,Megamind,2010,2,21.05.11 10:14
Завет,Zavet,2007,9,21.05.11 10:15
Черная кошка  белый кот,Crna ma_ka  beli ma_or,1998,9,21.05.11 10:15
Неудачники,Micmacs a tire-larigot,2009,8,21.05.11 10:16
Мальчишник в Вегасе,The Hangover,2009,7,21.05.11 10:16
Рапунцель: Запутанная история,Tangled,2010,3,21.05.11 10:16
Хроники Риддика,The Chronicles of Riddick,2004,4,21.05.11 10:16
Чёрная дыра,Pitch Black,1999,3,21.05.11 10:16
Пипец,Kick-Ass,2010,1,21.05.11 10:16
Хэнкок,Hancock,2008,4,21.05.11 10:16
Всегда говори `ДА`,Yes Man,2008,6,21.05.11 10:16
Эйс Вентура: Розыск домашних животных,Ace Ventura: Pet Detective,1993,6,21.05.11 10:17
Бомбила,,2011,2,21.05.11 10:19
Тор,Thor,2011,3,21.05.11 10:19
Десятидюймовый герой,Ten Inch Hero,2006,4,21.05.11 10:19
Тройной форсаж: Токийский дрифт,The Fast and the Furious: Tokyo Drift,2006,3,21.05.11 10:19
Бруно,Bruno,2009,6,21.05.11 10:20
Доктор Хаус,House  M.D.,2004 – 2012,8,21.05.11 10:30
Симпсоны,The Simpsons,1989 – ...,8,21.05.11 10:31
Симпсоны в кино,The Simpsons Movie,2007,5,21.05.11 10:32
Футурама,Futurama,1999 – 2013,6,21.05.11 10:33
Южный Парк,South Park,1997 – ...,6,21.05.11 10:33
Царь горы,King of the Hill,1997 – 2010,8,21.05.11 10:33
Бивис и Батт-Хед,Beavis and Butt-Head,1993 – 2011,4,21.05.11 10:33
Футурама: Зверь с миллиардом спин,Futurama: The Beast with a Billion Backs,2008,5,21.05.11 10:33
Шоу Кливленда,The Cleveland Show,2009 – 2013,4,21.05.11 10:33
Кот Саймона,Simon's Cat,2008 – ...,7,21.05.11 10:35
Дживс и Вустер,Jeeves and Wooster,1990 – 1993,7,21.05.11 10:39
Десятое королевство,The 10th Kingdom,1999,7,21.05.11 10:39
Коровка и Петушок,Cow and Chicken,1995 – 2004,7,21.05.11 10:40
Король Лев,The Lion King,1994,7,21.05.11 10:48
Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,2004,6,21.05.11 10:48
Спасти рядового Райана,Saving Private Ryan,1998,6,21.05.11 10:48
В бой идут одни «старики»,,1973,7,21.05.11 10:48
День сурка,Groundhog Day,1993,7,21.05.11 10:48
Титаник,Titanic,1997,7,21.05.11 10:49
Огни большого города,City Lights,1931,8,21.05.11 10:49
Малышка на миллион,Million Dollar Baby,2004,7,21.05.11 10:49
Великий диктатор,The Great Dictator,1940,8,21.05.11 10:50
Москва слезам не верит,,1979,8,21.05.11 10:50
Белый Бим Черное ухо,,1976,7,21.05.11 10:50
Вверх,Up,2009,6,21.05.11 10:51
Они сражались за Родину,,1975,5,21.05.11 10:51
Район №9,District 9,2009,6,21.05.11 10:51
Ежик в тумане,,1975,9,21.05.11 10:51
Андеграунд,Underground,1995,6,21.05.11 10:57
Римские каникулы,Roman Holiday,1953,8,21.05.11 10:57
Весна  лето  осень  зима... и снова весна,Bom yeoreum gaeul gyeoul geurigo bom,2003,8,21.05.11 10:58
Унесенные ветром,Gone with the Wind,1939,7,21.05.11 10:58
Рокки,Rocky,1976,6,21.05.11 10:58
Офицеры,,1971,6,21.05.11 10:58
Иваново детство,,1962,8,21.05.11 10:58
Аватар,Avatar,2009,3,21.05.11 10:59
Плохой хороший человек,,1973,8,21.05.11 10:59
Война и мир,,1965,9,21.05.11 10:59
Бонни и Клайд,Bonnie and Clyde,1967,9,21.05.11 10:59
Брестская крепость,,2010,6,21.05.11 10:59
Стена,Pink Floyd The Wall,1982,8,21.05.11 11:00
Инопланетянин,E.T. the Extra-Terrestrial,1982,8,21.05.11 11:00
Апокалипсис,Apocalypto,2006,5,21.05.11 11:00
Броненосец «Потемкин»,,1925,9,21.05.11 11:01
Дни Турбиных,,1976,7,21.05.11 11:01
Ип Ман,Yip Man,2008,5,21.05.11 11:01
Рестлер,The Wrestler,2008,7,21.05.11 11:02
Ностальгия,Nostalghia,1983,8,21.05.11 11:02
Утомленные солнцем,,1994,9,21.05.11 11:03
Народ против Ларри Флинта,The People vs. Larry Flynt,1996,7,21.05.11 11:03
Всё о моей матери,Todo sobre mi madre,1999,9,21.05.11 11:03
Миллионер из трущоб,Slumdog Millionaire,2008,7,21.05.11 11:04
Гараж,,1979,7,21.05.11 11:04
Рок-волна,The Boat That Rocked,2009,8,21.05.11 11:04
Кин-дза-дза!,,1986,9,21.05.11 11:04
Война и мир: Пьер Безухов,,1967,8,21.05.11 11:05
Время цыган,Dom za vesanje,1988,6,21.05.11 11:10
Снежная королева,,1957,7,21.05.11 11:10
